file_id,file_path,directory,file_type,size_bytes,analyzed,summary,issues_found,importance,status
32,COMPLIANCE_SYSTEM_IMPLEMENTATION.md,root,.md,20021,no,,,,pending
33,compose.debug.yaml,root,.yaml,293,no,,,,pending
34,compose.yaml,root,.yaml,214,no,,,,pending
35,COMPREHENSIVE_INDIRA_DYON_ANALYSIS.md,root,.md,36308,no,,,,pending
36,COMPREHENSIVE_SYSTEM_ANALYSIS_FINAL_REPORT.md,root,.md,18592,no,,,,pending
37,CONSOLIDATION_COMPLETE.md,root,.md,4440,no,,,,pending
38,CORE_ORCHESTRATORS_INTEGRATION_COMPLETE.md,root,.md,10226,no,,,,pending
39,create_desktop_shortcut.ps1,root,.ps1,969,no,,,,pending
40,CURRENT_ISSUES.md,root,.md,2197,no,,,,pending
41,DASHBOARD2026_ARCHITECTURAL_ANALYSIS.md,root,.md,11013,no,,,,pending
42,DASHBOARD2026_IMPLEMENTATION_ROADMAP.md,root,.md,26450,no,,,,pending
43,DASHBOARD_SPEC.md,root,.md,13570,no,,,,pending
44,DATA_SOURCES_SETUP_GUIDE.md,root,.md,33650,no,,,,pending
45,dependency_graph.json,root,.json,1536,no,,,,pending
46,DEPENDENCY_RULES_ENFORCEMENT.md,root,.md,1461,no,,,,pending
47,DEPLOYMENT_CHECKLIST.md,root,.md,11864,no,,,,pending
48,DEPLOYMENT_GUIDE.md,root,.md,8087,no,,,,pending
49,desktop_agent_config.yaml,root,.yaml,3513,no,,,,pending
50,diagnose_foundation.py,root,.py,788,no,,,,pending
51,DIX MEME.lnk,root,.lnk,1983,no,,,,pending
52,DIX VISION v42.2 – CANONICAL BUILD PLAN.txt,root,.txt,7850,no,,,,pending
53,DIX VISION v42.2 – CANONICAL SYSTEM MANIFEST.txt,root,.txt,25410,no,,,,pending
54,DIX VISION v42.2 – COMPLETE EXECUTIVE SUMMARY.txt,root,.txt,8671,no,,,,pending
55,dix.py,root,.py,1935,no,,,,pending
56,dixvision-1.code-workspace,root,.code-workspace,105,no,,,,pending
57,DIX_DESKTOP_NAME_CHANGE.md,root,.md,2242,no,,,,pending
58,dix_vision_desktop.log,root,.log,18528,no,,,,pending
59,DIX_VISION_DESKTOP_INTEGRATION_COMPLETE.md,root,.md,11244,no,,,,pending
60,DIX_VISION_USER_GUIDE.md,root,.md,14467,no,,,,pending
61,docker-compose.yml,root,.yml,1680,no,,,,pending
62,Dockerfile,root,no_extension,1644,no,,,,pending
63,DOCUMENTATION_CONSOLIDATION_COMPLETE.md,root,.md,12650,no,,,,pending
64,DOCUMENTATION_FIX_COMPLETE.md,root,.md,9750,no,,,,pending
65,DOCUMENTATION_FIX_PLAN.md,root,.md,8711,no,,,,pending
66,DYNAMIC_CAPABILITY_FOUNDATION_COMPLETE.md,root,.md,12675,no,,,,pending
67,DYON_ARCHITECTURAL_CORRECTION_COMPLETE.md,root,.md,6279,no,,,,pending
68,DYON_INTELLIGENCE_ENGINE_INTEGRATION_COMPLETE.md,root,.md,9964,no,,,,pending
69,DYON_LEARNING_ENGINE_INTEGRATION_COMPLETE.md,root,.md,10195,no,,,,pending
70,DYON_MODELING_INTEGRATION_COMPLETE.md,root,.md,6359,no,,,,pending
71,DYON_SIMULATION_ENGINE_INTEGRATION_COMPLETE.md,root,.md,9398,no,,,,pending
72,DYON_SYSTEM_ENGINE_INTEGRATION_COMPLETE.md,root,.md,7348,no,,,,pending
73,enumerate_files.py,root,.py,657,no,,,,pending
74,enumerate_source_files_v2.py,root,.py,1429,no,,,,pending
75,FEATURE_FLAGS_ACTIVATION_COMPLETE.md,root,.md,10317,no,,,,pending
76,FILE_ENCODING_FIXED.md,root,.md,3001,no,,,,pending
77,file_index_generator.py,root,.py,4257,no,,,,pending
78,file_index_raw.csv,root,.csv,215536,no,,,,pending
79,FINAL_COMPLIANCE_IMPLEMENTATION_SUMMARY.md,root,.md,17642,no,,,,pending
80,FINAL_CONSOLIDATION_STATUS.md,root,.md,4215,no,,,,pending
81,FINAL_IMPLEMENTATION_REPORT.md,root,.md,9485,no,,,,pending
82,FINAL_IMPLEMENTATION_SUMMARY.md,root,.md,7571,no,,,,pending
83,FINAL_SESSION_COMPLETE.md,root,.md,6773,no,,,,pending
84,FINAL_SYSTEM_ANALYSIS_REPORT.md,root,.md,18422,no,,,,pending
85,FINAL_SYSTEM_REPORT.md,root,.md,13433,no,,,,pending
86,FIVE_MAJOR_ORCHESTRATORS_INTEGRATION_COMPLETE.md,root,.md,13750,no,,,,pending
87,fix_documentation.py,root,.py,5939,no,,,,pending
88,FULL_COGNITIVE_INTEGRATION_COMPLETE.md,root,.md,12168,no,,,,pending
89,FULL_CONSOLIDATION_COMPLETE.md,root,.md,4467,no,,,,pending
90,FULL_INTEGRATION_MISSION_COMPLETE.md,root,.md,9775,no,,,,pending
91,FULL_SYSTEM_ANALYSIS_COMPLETE.md,root,.md,14000,no,,,,pending
92,full_system_file_index.csv,root,.csv,49,no,,,,pending
93,FULL_SYSTEM_IMPLEMENTATION_PLAN.md,root,.md,16909,no,,,,pending
94,FULL_SYSTEM_IMPLEMENTATION_STATUS.md,root,.md,11486,no,,,,pending
95,GOVERNANCE_CONSOLIDATION_MAJOR_STATUS.md,root,.md,7420,no,,,,pending
96,GOVERNANCE_CONSOLIDATION_PLAN.md,root,.md,17696,no,,,,pending
97,IMPLEMENTATION_SUMMARY.md,root,.md,9212,no,,,,pending
98,IMPORT_MIGRATION_BLOCKED.md,root,.md,3894,no,,,,pending
99,IMPORT_MIGRATION_COMPLETE.md,root,.md,3097,no,,,,pending
100,IMPORT_MIGRATION_PLAN.md,root,.md,596,no,,,,pending
101,IMPORT_MIGRATION_READY.md,root,.md,2694,no,,,,pending
102,INDIRA_DYON_ENHANCEMENTS_IMPLEMENTATION_COMPLETE.md,root,.md,15454,no,,,,pending
103,INDIRA_DYON_ENHANCEMENT_ANALYSIS.md,root,.md,19485,no,,,,pending
104,INDIRA_TRADING_INTELLIGENCE_COMPLETE.md,root,.md,30108,no,,,,pending
105,INDIRA_TRADING_INTELLIGENCE_ENHANCEMENT_COMPLETE.md,root,.md,12788,no,,,,pending
106,insert_models.py,root,.py,1247,no,,,,pending
107,integration_matrix.json,root,.json,595,no,,,,pending
108,ISSUE_RESOLUTION_SUMMARY.md,root,.md,2644,no,,,,pending
109,launcher_both.log,root,.log,6118,no,,,,pending
110,launcher_err.log,root,.log,422,no,,,,pending
111,launcher_meme.log,root,.log,6348,no,,,,pending
112,launcher_out.log,root,.log,616,no,,,,pending
113,LAUNCH_DIX_VISION_DESKTOP.bat,root,.bat,380,no,,,,pending
114,LAUNCH_DIX_VISION_DESKTOP.py,root,.py,6094,no,,,,pending
115,local_models_setup.md,root,.md,8140,no,,,,pending
116,LOCKS_REMOVED.md,root,.md,1597,no,,,,pending
117,main.py,root,.py,4742,no,,,,pending
118,Makefile,root,no_extension,918,no,,,,pending
119,migrate_governance_guards.py,root,.py,10160,no,,,,pending
120,migrate_guards_simple.py,root,.py,4501,no,,,,pending
121,MIND_CONTROL_INTEGRATION_SUMMARY.md,root,.md,10327,no,,,,pending
122,MODULAR_ARCHITECTURE_COMPLETE.md,root,.md,15578,no,,,,pending
123,MODULAR_ARCHITECTURE_PLAN.md,root,.md,4638,no,,,,pending
124,MODULAR_ARCHITECTURE_PROGRESS.md,root,.md,11065,no,,,,pending
125,MODULE_OWNERSHIP_AND_BOUNDARIES.md,root,.md,9887,no,,,,pending
126,NGROK_AUTH_SETUP_SUMMARY.md,root,.md,3715,no,,,,pending
127,NGROK_SETUP_GUIDE.md,root,.md,3828,no,,,,pending
128,NGROK_TUNNEL_ACTIVE.md,root,.md,5186,no,,,,pending
129,ORPHAN_FILE_ANALYSIS.md,root,.md,5074,no,,,,pending
130,OVERALL_CONSOLIDATION_PROGRESS.md,root,.md,7581,no,,,,pending
131,ownership_map.json,root,.json,719,no,,,,pending
132,P1_IMPLEMENTATIONS_REPORT.md,root,.md,16187,no,,,,pending
133,P2_IMPLEMENTATIONS_REPORT.md,root,.md,15382,no,,,,pending
134,P3_ALL_15_SOURCES_REPORT.md,root,.md,12632,no,,,,pending
135,P3_COMPLIANCE_INTEGRATION_REPORT.md,root,.md,14298,no,,,,pending
136,P4_INTERNATIONAL_SOCIAL_REPORT.md,root,.md,10568,no,,,,pending
137,package-lock.json,root,.json,251785,no,,,,pending
138,package.json,root,.json,1092,no,,,,pending
139,PARTIAL_CODE_ANALYSIS_REPORT.md,root,.md,14687,no,,,,pending
140,PHASE1.2_COMPLETION_SUMMARY.md,root,.md,11620,no,,,,pending
141,PHASE10_ASSESSMENT.md,root,.md,2775,no,,,,pending
142,PHASE10_FINAL_REPORT.md,root,.md,10081,no,,,,pending
143,PHASE11.1_ASSESSMENT.md,root,.md,5383,no,,,,pending
144,PHASE11.1_FINAL_REPORT.md,root,.md,10534,no,,,,pending
145,PHASE11.1_IMPLEMENTATION_FINAL_REPORT.md,root,.md,10978,no,,,,pending
146,PHASE11_ASSESSMENT.md,root,.md,1214,no,,,,pending
147,PHASE11_FINAL_REPORT.md,root,.md,9568,no,,,,pending
148,PHASE12_ASSESSMENT.md,root,.md,1281,no,,,,pending
149,PHASE12_FINAL_REPORT.md,root,.md,5569,no,,,,pending
150,PHASE13_ASSESSMENT.md,root,.md,1184,no,,,,pending
151,PHASE13_FINAL_REPORT.md,root,.md,8461,no,,,,pending
152,PHASE1_COMPLETION_REPORT.md,root,.md,9820,no,,,,pending
153,PHASE1_COMPLETION_SUMMARY.md,root,.md,9344,no,,,,pending
154,PHASE1_PROGRESS_REPORT.md,root,.md,7358,no,,,,pending
155,PHASE2.1_COMPLETE_REPORT.md,root,.md,6588,no,,,,pending
156,PHASE2.1_COMPLETION_SUMMARY.md,root,.md,15181,no,,,,pending
157,PHASE2_COMPLETE_FINAL.md,root,.md,4263,no,,,,pending
158,PHASE2_EXECUTION_CONSOLIDATION.md,root,.md,8787,no,,,,pending
159,PHASE2_EXECUTION_PROGRESS.md,root,.md,5263,no,,,,pending
160,PHASE2_INTEGRATION_VERIFICATION.md,root,.md,7670,no,,,,pending
161,PHASE2_STATUS_UPDATE.md,root,.md,6087,no,,,,pending
162,PHASE3_COMPLETE.md,root,.md,4332,no,,,,pending
163,PHASE8_ASSESSMENT.md,root,.md,3249,no,,,,pending
164,PHASE8_FINAL_REPORT.md,root,.md,9701,no,,,,pending
165,PHASE9_ASSESSMENT.md,root,.md,2902,no,,,,pending
166,PHASE9_FINAL_REPORT.md,root,.md,7941,no,,,,pending
167,PLUGIN_STATUS.md,root,.md,2910,no,,,,pending
168,PRIORITIZED_ACTION_PLAN.md,root,.md,16181,no,,,,pending
169,protoc-25.1-linux-x86_64.zip,root,.zip,3105275,no,,,,pending
170,pyproject.toml,root,.toml,7766,no,,,,pending
171,QUICK_START.md,root,.md,3872,no,,,,pending
172,README.md,root,.md,11065,no,,,,pending
173,README_DATA_SOURCES_SETUP.md,root,.md,43055,no,,,,pending
174,README_LAUNCHER.md,root,.md,1247,no,,,,pending
175,Repository Reality Manifest.txt,root,.txt,12342,no,,,,pending
176,requirements-dev.txt,root,.txt,733,no,,,,pending
177,requirements-ml,root,no_extension,3137,no,,,,pending
178,requirements-windows.txt,root,.txt,112,no,,,,pending
179,requirements.txt,root,.txt,495,no,,,,pending
180,robot_model.zip,root,.zip,1181808566,no,,,,pending
181,run.ps1,root,.ps1,667,no,,,,pending
182,runtime_graph.json,root,.json,603,no,,,,pending
183,RUNTIME_WARNINGS_FIXED.md,root,.md,4298,no,,,,pending
184,SERVER_BOOT_STATUS.md,root,.md,2817,no,,,,pending
185,SERVER_OPERATIONAL.md,root,.md,1993,no,,,,pending
186,SESSION_COMPLETE.md,root,.md,8398,no,,,,pending
187,SESSION_LOG.md,root,.md,19390,no,,,,pending
188,setup.bat,root,.bat,2832,no,,,,pending
189,simple_tunnel.py,root,.py,3337,no,,,,pending
190,small_py_files.json,root,.json,0,no,,,,pending
191,source_file_index.txt,root,.txt,46743,no,,,,pending
192,start.py,root,.py,3507,no,,,,pending
193,startup_test.py,root,.py,3575,no,,,,pending
194,start_dix_vision_production.py,root,.py,8921,no,,,,pending
195,STATUS_REPORT.md,root,.md,8176,no,,,,pending
196,SYNTAX_ERROR_FIXED.md,root,.md,1170,no,,,,pending
197,SYSTEM_ANALYSIS_TRACKING.md,root,.md,4791,no,,,,pending
198,SYSTEM_COMPLETION_SUMMARY.md,root,.md,10187,no,,,,pending
199,SYSTEM_COMPREHENSIVE_ANALYSIS.md,root,.md,12810,no,,,,pending
200,system_file_index.json,root,.json,11179424,no,,,,pending
201,SYSTEM_OPERATIONAL.md,root,.md,1459,no,,,,pending
202,temp_test_out.txt,root,.txt,8867,no,,,,pending
203,temp_test_out2.txt,root,.txt,153250,no,,,,pending
204,test_import.py,root,.py,1128,no,,,,pending
205,TEST_LINT_STATUS.md,root,.md,3502,no,,,,pending
206,test_out.txt,root,.txt,0,no,,,,pending
207,test_output.txt,root,.txt,0,no,,,,pending
208,TIER2_ADVANCED_INTELLIGENCE_COMPLETE.md,root,.md,8607,no,,,,pending
209,TIER2_INTELLIGENCE_COMPLETE.md,root,.md,7556,no,,,,pending
210,TIER3_MODELING_SIMULATION_COMPLETE.md,root,.md,6040,no,,,,pending
211,TIER4_MISSION_OPTIMIZATION_COMPLETE.md,root,.md,6257,no,,,,pending
212,tracking_table_generator.py,root,.py,4740,no,,,,pending
213,trading.py,root,.py,4189,no,,,,pending
214,tsconfig.base.json,root,.json,823,no,,,,pending
215,turbo.json,root,.json,575,no,,,,pending
216,ULTIMATE_SESSION_COMPLETE.md,root,.md,9063,no,,,,pending
217,UNIFIED_WORKSPACE_ARCHITECTURE.md,root,.md,26232,no,,,,pending
218,VALIDATION_COMPLETE.md,root,.md,2162,no,,,,pending
219,verify_system_status.py,root,.py,11285,no,,,,pending
220,VERSION,root,no_extension,7,no,,,,pending
221,WORKAROUND_APPLIED.md,root,.md,1341,no,,,,pending
222,alt_data_engine\macro_feed.py,alt_data_engine,.py,2237,no,,,,pending
223,alt_data_engine\news_parser.py,alt_data_engine,.py,6561,no,,,,pending
224,alt_data_engine\orchestrator.py,alt_data_engine,.py,5208,no,,,,pending
225,alt_data_engine\sentiment.py,alt_data_engine,.py,1926,no,,,,pending
226,alt_data_engine\__init__.py,alt_data_engine,.py,5289,no,,,,pending
227,apps\agent-runtime\package.json,apps\agent-runtime,.json,943,no,,,,pending
228,apps\agent-runtime\tsconfig.json,apps\agent-runtime,.json,606,no,,,,pending
229,apps\agent-runtime\src\index.ts,apps\agent-runtime\src,.ts,10208,no,,,,pending
230,apps\dashboard\package.json,apps\dashboard,.json,941,no,,,,pending
231,apps\desktop\package.json,apps\desktop,.json,836,no,,,,pending
232,assistent_temp\ASSISTENT\interactive_assistent-main\.gitignore,assistent_temp\ASSISTENT\interactive_assistent-main,no_extension,619,no,,,,pending
233,assistent_temp\ASSISTENT\interactive_assistent-main\LICENSE,assistent_temp\ASSISTENT\interactive_assistent-main,no_extension,2251,no,,,,pending
234,assistent_temp\ASSISTENT\interactive_assistent-main\LICENSE-APACHE,assistent_temp\ASSISTENT\interactive_assistent-main,no_extension,11324,no,,,,pending
235,assistent_temp\ASSISTENT\interactive_assistent-main\LICENSE-MIT,assistent_temp\ASSISTENT\interactive_assistent-main,no_extension,1083,no,,,,pending
236,assistent_temp\ASSISTENT\interactive_assistent-main\NOTICE,assistent_temp\ASSISTENT\interactive_assistent-main,no_extension,7458,no,,,,pending
237,assistent_temp\ASSISTENT\interactive_assistent-main\package.json,assistent_temp\ASSISTENT\interactive_assistent-main,.json,1101,no,,,,pending
238,assistent_temp\ASSISTENT\interactive_assistent-main\pnpm-lock.yaml,assistent_temp\ASSISTENT\interactive_assistent-main,.yaml,64256,no,,,,pending
239,assistent_temp\ASSISTENT\interactive_assistent-main\README.md,assistent_temp\ASSISTENT\interactive_assistent-main,.md,38704,no,,,,pending
240,assistent_temp\ASSISTENT\interactive_assistent-main\tsconfig.json,assistent_temp\ASSISTENT\interactive_assistent-main,.json,562,no,,,,pending
241,assistent_temp\ASSISTENT\interactive_assistent-main\tsconfig.node.json,assistent_temp\ASSISTENT\interactive_assistent-main,.json,342,no,,,,pending
242,assistent_temp\ASSISTENT\interactive_assistent-main\vite.config.ts,assistent_temp\ASSISTENT\interactive_assistent-main,.ts,474,no,,,,pending
243,assistent_temp\ASSISTENT\interactive_assistent-main\docs\adr\0001-feedback-telemetry.md,assistent_temp\ASSISTENT\interactive_assistent-main\docs\adr,.md,4793,no,,,,pending
244,assistent_temp\ASSISTENT\interactive_assistent-main\docs\adr\0002-local-personality-lora.md,assistent_temp\ASSISTENT\interactive_assistent-main\docs\adr,.md,4787,no,,,,pending
245,assistent_temp\ASSISTENT\interactive_assistent-main\docs\adr\0003-federated-lora-upload.md,assistent_temp\ASSISTENT\interactive_assistent-main\docs\adr,.md,4581,no,,,,pending
246,assistent_temp\ASSISTENT\interactive_assistent-main\docs\adr\0004-aggregation-release-pipeline.md,assistent_temp\ASSISTENT\interactive_assistent-main\docs\adr,.md,4227,no,,,,pending
247,assistent_temp\ASSISTENT\interactive_assistent-main\docs\adr\0005-transparency-log-revocation.md,assistent_temp\ASSISTENT\interactive_assistent-main\docs\adr,.md,4385,no,,,,pending
248,assistent_temp\ASSISTENT\interactive_assistent-main\docs\adr\README.md,assistent_temp\ASSISTENT\interactive_assistent-main\docs\adr,.md,1493,no,,,,pending
249,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\README.md,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d,.md,1080,no,,,,pending
250,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\mao_pro.cdi3.json,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro,.json,15929,no,,,,pending
251,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\mao_pro.model3.json,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro,.json,1645,no,,,,pending
252,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\mao_pro.physics3.json,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro,.json,21803,no,,,,pending
253,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\mao_pro.pose3.json,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro,.json,254,no,,,,pending
254,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\expressions\exp_01.exp3.json,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\expressions,.json,1981,no,,,,pending
255,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\expressions\exp_02.exp3.json,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\expressions,.json,1981,no,,,,pending
256,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\expressions\exp_03.exp3.json,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\expressions,.json,1981,no,,,,pending
257,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\expressions\exp_04.exp3.json,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\expressions,.json,1985,no,,,,pending
258,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\expressions\exp_05.exp3.json,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\expressions,.json,1986,no,,,,pending
259,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\expressions\exp_06.exp3.json,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\expressions,.json,1985,no,,,,pending
260,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\expressions\exp_07.exp3.json,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\expressions,.json,1987,no,,,,pending
261,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\expressions\exp_08.exp3.json,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\expressions,.json,1982,no,,,,pending
262,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\motions\mtn_01.motion3.json,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\motions,.json,27147,no,,,,pending
263,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\motions\mtn_02.motion3.json,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\motions,.json,23760,no,,,,pending
264,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\motions\mtn_03.motion3.json,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\motions,.json,22428,no,,,,pending
265,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\motions\mtn_04.motion3.json,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\motions,.json,26840,no,,,,pending
266,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\motions\special_01.motion3.json,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\motions,.json,33723,no,,,,pending
267,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\motions\special_02.motion3.json,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\motions,.json,41295,no,,,,pending
268,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\motions\special_03.motion3.json,assistent_temp\ASSISTENT\interactive_assistent-main\public\live2d\mao_pro\motions,.json,47803,no,,,,pending
269,assistent_temp\ASSISTENT\interactive_assistent-main\scripts\make-icon.py,assistent_temp\ASSISTENT\interactive_assistent-main\scripts,.py,7312,no,,,,pending
270,assistent_temp\ASSISTENT\interactive_assistent-main\src\App.tsx,assistent_temp\ASSISTENT\interactive_assistent-main\src,.tsx,20157,no,,,,pending
271,assistent_temp\ASSISTENT\interactive_assistent-main\src\avatarState.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src,.ts,2863,no,,,,pending
272,assistent_temp\ASSISTENT\interactive_assistent-main\src\emotion.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src,.ts,4543,no,,,,pending
273,assistent_temp\ASSISTENT\interactive_assistent-main\src\lipsync.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src,.ts,8775,no,,,,pending
274,assistent_temp\ASSISTENT\interactive_assistent-main\src\listen.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src,.ts,3539,no,,,,pending
275,assistent_temp\ASSISTENT\interactive_assistent-main\src\main.tsx,assistent_temp\ASSISTENT\interactive_assistent-main\src,.tsx,376,no,,,,pending
276,assistent_temp\ASSISTENT\interactive_assistent-main\src\updater.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src,.ts,1578,no,,,,pending
277,assistent_temp\ASSISTENT\interactive_assistent-main\src\vad.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src,.ts,7648,no,,,,pending
278,assistent_temp\ASSISTENT\interactive_assistent-main\src\vite-env.d.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src,.ts,63,no,,,,pending
279,assistent_temp\ASSISTENT\interactive_assistent-main\src\api\avatar.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src\api,.ts,437,no,,,,pending
280,assistent_temp\ASSISTENT\interactive_assistent-main\src\api\chat.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src\api,.ts,1497,no,,,,pending
281,assistent_temp\ASSISTENT\interactive_assistent-main\src\api\feedback.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src\api,.ts,2028,no,,,,pending
282,assistent_temp\ASSISTENT\interactive_assistent-main\src\api\imagegen.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src\api,.ts,2327,no,,,,pending
283,assistent_temp\ASSISTENT\interactive_assistent-main\src\api\index.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src\api,.ts,566,no,,,,pending
284,assistent_temp\ASSISTENT\interactive_assistent-main\src\api\intent.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src\api,.ts,989,no,,,,pending
285,assistent_temp\ASSISTENT\interactive_assistent-main\src\api\models.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src\api,.ts,1284,no,,,,pending
286,assistent_temp\ASSISTENT\interactive_assistent-main\src\api\rag.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src\api,.ts,722,no,,,,pending
287,assistent_temp\ASSISTENT\interactive_assistent-main\src\api\relationship.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src\api,.ts,2558,no,,,,pending
288,assistent_temp\ASSISTENT\interactive_assistent-main\src\api\stt.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src\api,.ts,2823,no,,,,pending
289,assistent_temp\ASSISTENT\interactive_assistent-main\src\api\system.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src\api,.ts,694,no,,,,pending
290,assistent_temp\ASSISTENT\interactive_assistent-main\src\api\tts.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src\api,.ts,1991,no,,,,pending
291,assistent_temp\ASSISTENT\interactive_assistent-main\src\api\types.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src\api,.ts,6628,no,,,,pending
292,assistent_temp\ASSISTENT\interactive_assistent-main\src\api\vision.ts,assistent_temp\ASSISTENT\interactive_assistent-main\src\api,.ts,2320,no,,,,pending
